;;;Oficina;Serviço;Disciplina;Descrição;Tag;Quantidade;Tipo;Valor;Indice item
153ª;EBN-OEN-2706750-RM-4501;2000;2706;Fornecimento de Equipamento;Elétrica;TRANSFORMADOR NORMAL A SECO - 300kVA – 480-220/127V;TF-QVAC 2706-01;1;FIXO;29.246,89;1
153ª;EBN-OEN-2706750-RM-4501;2000;2706;Fornecimento de Equipamento;Elétrica;TRANSFORMADOR NORMAL A SECO - 300kVA – 480-220/127V;TL 2706-01;1;FIXO;29.246,89;1
153ª;EBN-OEN-2706750-RM-4501;2000;2706;Fornecimento de Equipamento;Elétrica;TRANSFORMADOR NORMAL A SECO - 300kVA – 480-220/127V;TL 2706-02;1;FIXO;29.246,89;1
153ª;EBN-OEN-2706750-RM-4501;2000;2706;Fornecimento de Equipamento;Elétrica;TRANSFORMADOR DE EMERGÊNCIA A SECO - 45kVA – 480-220/127V;TLE 2706-01;1;FIXO;10.254,12;1
153ª;EBN-OEN-2706750-RM-4501;2000;2722;Fornecimento de Equipamento;Mecânica;TRANSFORMADOR DE EMERGÊNCIA A SECO - 45kVA – 480-220/127V;TLE 2706-01;1;FIXO;10.254,12;1
153ª;EBN-OEN-2706750-RM-4501;2000;2722;Fornecimento de Equipamento;Elétrica;TRANSFORMADOR NORMAL A SECO - 300kVA – 480-220/127V;TF-QVAC 2706-02;1;FIXO;29.246,89;1
153ª;EBN-OEN-2706750-RM-4501;2000;2722;Fornecimento de Equipamento;Elétrica;TRANSFORMADOR NORMAL A SECO - 300kVA – 480-220/127V;TL 2706-01;1;FIXO;29.246,89;1
153ª;EBN-OEN-2706750-RM-4501;2000;2706;Preservação;Elétrica;TRANSFORMADOR NORMAL A SECO - 300kVA – 480-220/127V;TF-QVAC 2706-02;6;FIXO;640.211,26;6
153ª;EBN-OEN-2706750-RM-4501;2000;2706;Preservação;Elétrica;TRANSFORMADOR NORMAL A SECO - 300kVA – 480-220/127V;TL 2706-01;6;FIXO;640.211,26;6
153ª;EBN-OEN-2706750-RM-4501;2000;2706;Preservação;Elétrica;TRANSFORMADOR DE EMERGÊNCIA A SECO - 45kVA – 480-220/127V;TLE 2706-01;6;FIXO;640.211,26;5
153ª;EBN-OEN-2706750-RM-4501;2000;2706;Preservação;Elétrica;TRANSFORMADOR DE EMERGÊNCIA A SECO - 45kVA – 480-220/127V;TLE 2706-02;6;FIXO;640.211,26;5
153ª;EBN-OEN-2706750-RM-4501;2000;2706;Montagem;Elétrica;TRANSFORMADOR NORMAL A SECO - 300kVA – 480-220/127V;TF-QVAC 2706-02;1;FIXO;640.211,26;33
153ª;EBN-OEN-2706750-RM-4501;2000;2706;Montagem;Elétrica;TRANSFORMADOR DE EMERGÊNCIA A SECO - 45kVA – 480-220/127V;TLE 2706-01;1;FIXO;640.211,26;28
153ª;EBN-OEN-2706750-RM-4501;2000;2706;Supervisão de Montagem;Mecânica;TRANSFORMADOR NORMAL A SECO - 300kVA – 480-220/127V;TL 2706-01;1;FIXO;640.211,26;33
153ª;EBN-OEN-2706750-RM-4501;2000;2706;Supervisão de Montagem;Mecânica;TRANSFORMADOR NORMAL A SECO - 300kVA – 480-220/127V;TL 2706-02;1;FIXO;640.211,26;33
153ª;EBN-OEN-2706750-RM-4501;2000;2722;Preservação;Mecânica;TRANSFORMADOR NORMAL A SECO - 300kVA – 480-220/127V;TL 2706-01;6;FIXO;640.211,26;6
153ª;EBN-OEN-2706750-RM-4501;2000;2722;Preservação;Elétrica;TRANSFORMADOR NORMAL A SECO - 300kVA – 480-220/127V;TF-QVAC 2706-01;6;FIXO;640.211,26;6
153ª;EBN-OEN-2706750-RM-4501;2000;2722;Preservação;Elétrica;TRANSFORMADOR DE EMERGÊNCIA A SECO - 45kVA – 480-220/127V;TLE 2706-01;6;FIXO;640.211,26;5
153ª;EBN-OEN-2706750-RM-4501;2000;2722;Montagem;Mecânica;TRANSFORMADOR NORMAL A SECO - 300kVA – 480-220/127V;TL 2706-01;1;FIXO;640.211,26;33
153ª;EBN-OEN-2706750-RM-4501;2000;2722;Montagem;Elétrica;TRANSFORMADOR NORMAL A SECO - 300kVA – 480-220/127V;TF-QVAC 2706-01;1;FIXO;640.211,26;33
153ª;EBN-OEN-2706750-RM-4501;2000;2722;Montagem;Elétrica;TRANSFORMADOR DE EMERGÊNCIA A SECO - 45kVA – 480-220/127V;TLE 2706-01;1;FIXO;640.211,26;28
153ª;EBN-OEN-2706750-RM-4501;2000;2706;Comissionamento;Elétrica;TRANSFORMADOR NORMAL A SECO - 300kVA – 480-220/127V;TF-QVAC 2706-02;1;FIXO;640.211,26;29
153ª;EBN-OEN-2706750-RM-4501;2000;2706;Comissionamento;Elétrica;TRANSFORMADOR NORMAL A SECO - 300kVA – 480-220/127V;TL 2706-01;1;FIXO;640.211,26;29
153ª;EBN-OEN-2706750-RM-4501;2000;2706;Comissionamento;Elétrica;TRANSFORMADOR DE EMERGÊNCIA A SECO - 45kVA – 480-220/127V;TLE 2706-01;1;FIXO;640.211,26;26
153ª;EBN-OEN-2706750-RM-4501;2000;2722;Comissionamento;Mecânica;TRANSFORMADOR NORMAL A SECO - 300kVA – 480-220/127V;TF-QVAC 2706-01;1;FIXO;640.211,26;29
153ª;EBN-OEN-2706750-RM-4501;2000;2722;Comissionamento;Elétrica;TRANSFORMADOR NORMAL A SECO - 300kVA – 480-220/127V;TL 2706-01;1;FIXO;640.211,26;29
153ª;EBN-OEN-2706750-RM-4501;2000;2722;Comissionamento;Elétrica;TRANSFORMADOR DE EMERGÊNCIA A SECO - 45kVA – 480-220/127V;TLE 2706-02;1;FIXO;640.211,26;26
